sesja;id;wtp_delay;wtp_risk;wtp_qual;wtp_legal;wtp_ilegal;PISF;Hip;imp_price;imp_delay;imp_qual;imp_legal;imp_qual;judge_good;judge_comf;judge_wise;judge_attr;judge_legal;judge_friends_ok;piracy_impp_ok;piracy_willing_yes;piracy_tech_diff;freq_cinema;freq_dvd;freq_movie_tv;freq_movie_int;freq_movie_il;sex;age;edu;rok_studiow;exp_count;siblings;pop_origin;income
2;267;-1.44271390352863;-12.5061262111913;5.21309258848883;13.3443171562818;11.5118333028227;0;0;2;3;5;4;1;3;5;4;4;2;5;4;4;1;3;3;3;2;4;2;22;1;3;5;3;4;3
2;268;-1.95067721603862;-9.98252840092722;6.98155137071591;29.3222475526351;28.5008141918428;0;0;4;3;2;5;1;2;4;4;4;2;5;3;3;1;4;1;4;2;3;2;21;1;3;6;1;5;8
2;269;-1.58288679633917;-7.80777235682379;4.25702700126967;25.5909505934869;26.7651661179104;0;0;1;4;3;5;2;4;5;4;5;2;4;5;5;2;2;1;3;1;5;2;21;1;3;2;3;1;1
2;270;-3.61394948615905;-17.2178274941576;17.0553149048099;12.6542745113377;11.7587929871222;0;0;1;3;4;5;2;4;4;4;5;2;5;5;5;1;3;2;3;1;5;2;21;2;3;2;1;3;1
2;271;-2.0403284523062;-7.81787002518051;5.24682948810758;15.9282678855674;14.8703527148845;0;0;1;3;4;5;2;2;5;3;5;1;5;4;5;1;2;1;1;2;5;2;20;1;2;1;2;3;4
2;272;-2.28796955564863;-13.228092631896;8.97433846124886;11.9427254659281;10.3187182250416;0;0;2;4;3;5;1;2;5;3;3;2;5;4;4;1;3;1;4;2;2;1;24;1;2;0;1;5;6
2;274;-1.70110348273278;-13.1125362874396;9.74872294055321;29.7777528922274;23.679654052564;0;0;2;4;1;5;3;3;5;4;4;2;4;2;5;1;3;3;3;1;4;1;21;1;3;1;1;5;9
3;351;-1.44771985359581;-7.89296666336927;5.55307733935398;20.7076978580531;16.4773963794638;1;0;2;5;1;4;3;3;4;3;4;1;2;3;4;1;2;2;5;3;3;1;26;1;5;3;1;1;7
3;352;-1.76679015863969;-16.1404008739432;7.51735537190083;9.28212216205947;8.11100978436402;1;0;2;5;1;4;3;2;4;3;3;2;4;3;2;1;2;1;4;3;3;2;26;3;7;5;1;2;7
3;353;-0.938711017907361;-17.8531461097635;6.15489432434261;38.2220686722653;34.1394222870783;1;0;1;5;4;2;3;2;4;2;3;1;5;2;4;2;3;1;1;3;2;2;24;2;5;3;2;5;7
3;354;-0.814340165687838;-18.4062809260196;4.87990440753849;16.4044572362024;14.1322347979032;1;0;1;5;4;3;2;3;5;3;5;3;4;4;5;1;3;1;5;5;5;2;21;1;3;0;1;1;5
3;355;-4.08931495981634;-8.51233181593071;9.89066625178591;11.1245129208833;10.3710055355703;1;0;1;3;2;5;4;3;5;3;5;2;4;3;4;1;3;1;3;1;5;1;23;1;3;0;1;5;6
3;356;-3.13311959774655;-12.125410124378;12.7286749739077;30.1765048465313;28.6927627823299;1;0;1;4;2;5;3;4;5;3;5;3;5;5;3;1;4;2;5;5;6;2;20;2;2;1;1;3;7
3;357;-0.554060455787044;-22.3854484795339;3.42465201132916;28.8228357170935;27.7304889480209;1;0;1;3;5;4;2;3;5;5;5;1;4;3;4;2;4;1;4;5;3;2;23;1;4;1;2;2;1
3;358;-0.599714150006477;-25.0338097499892;3.16186363832635;11.7941189170517;10.7356967053845;1;0;2;4;5;3;1;2;5;3;4;4;5;4;4;2;3;1;3;4;4;2;22;1;4;5;1;1;3
3;359;-1.12618085632067;-15.1311840537162;5.10871144958288;15.6543942388745;14.717666337238;1;0;5;1;3;2;4;3;4;3;3;1;3;3;4;1;2;1;2;1;1;2;34;1;7;0;1;5;6
3;360;-0.700671952076614;-11.6608054229094;1.54953593925501;6.97696445813601;6.01154732894123;1;0;1;4;5;3;2;1;3;1;3;1;2;2;1;2;3;3;4;5;1;2;23;2;4;1;1;2;4
3;361;-10.1669861477811;-7.6748887844045;39.947195196933;43.1386306918876;41.3501392455423;1;0;1;5;4;3;2;3;4;2;5;1;4;4;4;3;3;2;1;5;4;1;27;2;5;0;1;5;6
3;362;-1.10338573861118;-12.1815737911409;3.68188868932378;8.362062932985;6.47873854120501;1;0;1;5;2;4;3;3;5;5;3;1;5;5;5;1;3;1;1;1;4;1;24;2;5;8;1;2;4
3;364;-4.84817751836944;-7.3078185287023;11.5547133848895;10.582037167167;7.52433961809373;1;0;1;3;4;5;2;3;5;3;1;1;5;4;4;1;2;1;3;3;4;1;21;1;2;2;2;1;4
3;365;-2.02357581302799;-16.1178968313894;15.9735460545602;54.6297957769625;41.616195713004;0;0;2;4;3;5;1;3;4;3;4;2;4;4;3;2;3;1;5;1;1;1;25;1;2;3;1;5;5
3;367;-2.4886760653479;-9.94894695403996;11.6487058360398;42.0124126562346;38.3863546894991;1;0;2;5;3;4;1;4;4;3;4;4;4;4;4;4;2;1;4;4;5;1;26;2;6;51;1;4;4
3;368;-0.876404689191231;-20.7403086662852;4.561657712818;23.5887471299385;22.0631500209295;1;0;1;5;4;3;2;1;5;2;3;1;5;4;2;1;3;1;4;3;1;2;24;2;3;2;1;2;3
