market_value;age;height;weight;goals_CL;goals_UEFA;goals_cups;goals_top5l;goals_rest;goals_nat;app_nat;games_start;subs;assists;shots_tot;shots_on_gs;top_spa;top_ita;top_eng;top_ger;top_fra;rank;popularity;name
6.5;27;183;77;1;5;1;27;0;9;28;87;43;12;235;86;0;0;0;0;0;1412;0.759;guerrero
8.5;30;184;81;0;0;4;33;0;11;35;76;10;5;267;99;0;0;0;0;0;627;0.273;petric
1.0;29;185;82;0;0;3;3;12;0;0;43;20;6;82;40;0;0;0;0;0;1753;0.102;reisinger
10.0;25;183;73;0;0;0;6;22;7;8;64;14;1;62;38;0;0;0;0;0;34;0.129;cisse
7.5;24;185;78;9;3;1;11;7;5;40;119;113;18;177;77;0;0;0;0;0;1490;1.01;babbel
8.0;26;188;82;0;0;2;36;0;7;29;66;15;12;205;78;0;0;0;0;0;199;0.256;ibicevic
7.5;33;182;74;17;0;3;53;0;44;102;173;43;22;321;143;0;0;0;0;0;60;75.0;Raul
15.0;26;174;72;3;1;3;17;49;12;43;183;10;17;160;60;0;0;0;0;0;415;1.25;farfan
0.5;31;190;82;0;0;1;8;1;24;85;42;36;6;96;37;0;0;0;0;0;1855;0.234;charisteas
15.0;27;186;78;3;12;1;15;96;26;42;191;34;5;107;53;0;0;0;0;0;168;3.58;huntelaar
2.5;31;192;85;0;3;3;22;0;19;48;93;10;5;144;58;0;0;0;0;0;696;0.18;nowakovic
12.5;25;182;83;3;5;4;29;0;42;84;156;60;24;324;125;0;0;0;0;0;551;2.85;podolski
8.0;26;191;93;6;6;4;32;0;12;34;99;73;15;363;141;0;0;0;0;0;250;2.0;almeida
7.5;32;186;84;7;5;2;54;0;13;55;141;46;17;368;156;0;0;0;0;0;184;1.06;pizarro
7.5;21;192;83;0;1;0;0;12;4;9;35;23;5;25;17;0;0;0;0;0;1143;0.28;arnautovic
5.5;27;186;81;0;0;1;0;17;0;0;32;23;4;101;46;0;0;0;0;0;776;0.434;lakic
2.5;28;185;82;0;2;3;39;0;8;37;132;44;10;174;59;0;0;0;0;0;749;0.481;altintop
3.5;30;179;76;0;0;2;39;0;20;52;68;40;8;207;103;0;0;0;1;0;93;0.245;gekas
4.0;23;185;73;0;0;0;1;13;3;20;42;13;1;95;45;0;0;0;0;0;1587;0.258;harnik
5.5;27;188;91;3;0;0;6;0;7;25;36;8;7;59;26;0;0;0;0;0;272;0.184;pogrebniak
6.0;29;179;74;2;0;3;42;0;4;17;108;15;21;381;143;0;0;0;0;0;78;3.55;cacau
1.5;33;180;85;1;0;0;12;0;6;43;48;45;5;92;32;0;0;0;0;0;1467;0.909;asamoah
1.0;33;192;88;0;0;0;2;30;0;0;77;10;11;151;73;0;0;0;0;0;1076;0.069;ebbers
30.0;25;191;84;4;0;6;56;0;17;31;88;15;21;385;165;0;0;0;1;0;70;4.58;dzeko
7.5;31;189;88;3;0;5;64;0;1;4;118;9;18;310;152;0;0;0;1;0;170;0.691;grafite
4.0;27;187;27;1;2;0;0;4;0;4;38;7;0;21;11;0;0;0;0;0;1481;0.291;de camargo
2.25;31;190;83;0;0;1;9;13;6;34;75;3;8;174;64;0;0;0;0;0;548;0.132;idrisu
14.0;23;179;66;0;0;0;21;0;5;24;74;17;12;147;64;0;0;0;0;0;67;0.872;gervinho
8.5;25;180;69;0;0;0;12;0;3;5;27;45;5;99;43;0;0;0;0;0;248;0.475;sow
4.0;30;175;71;0;7;1;25;0;0;0;98;46;9;185;74;0;0;0;0;0;772;0.216;frau
6.5;26;177;76;0;0;2;11;15;0;6;82;7;3;99;50;0;0;0;0;0;548;1.15;montano
3.6;23;182;70;0;0;0;4;4;0;4;60;41;4;80;31;0;0;0;0;0;1070;0.138;boukari
2.6;23;179;75;0;0;0;3;0;0;0;11;43;0;67;16;0;0;0;0;0;1359;0.195;ekoko
22.0;28;174;74;16;0;0;15;10;1;7;86;13;11;185;86;0;0;0;0;0;148;1.12;lopez2
10.0;25;184;77;2;0;0;44;0;2;5;103;44;17;394;130;0;0;0;0;0;379;0.228;gomis
9.0;24;181;84;0;0;0;29;0;0;4;106;18;24;246;85;0;0;0;0;0;311;0.581;briand
13.0;25;186;84;0;0;0;43;0;4;16;109;25;14;451;180;0;0;0;0;1;221;0.307;gignac
5.0;30;189;78;3;0;0;15;0;0;0;62;8;6;167;59;0;0;0;0;0;464;2.32;brandao
15.0;24;184;76;0;0;0;28;0;1;7;75;11;5;248;82;0;0;0;0;0;125;0.811;remy
5.5;21;176;72;0;0;0;3;4;2;28;36;21;4;38;16;0;0;0;0;0;166;0.587;ayew
12.5;29;181;70;0;1;1;40;0;0;0;181;7;28;426;151;0;0;0;0;0;76;0.413;nene2
11.5;27;191;76;0;3;1;23;7;0;4;70;16;5;154;67;0;0;0;0;0;317;0.513;hoarau
3.0;21;185;74;0;0;0;2;8;3;12;27;21;10;24;15;0;0;0;0;0;455;0.042;aubameyang
9.5;24;181;85;0;0;0;37;0;1;13;90;10;10;275;128;0;0;0;0;0;104;0.406;erding
