ID_resp;sex;age;edugroup;forpleas;forentert;forrest;forcontart;forposh;forestet;formovm;forsocial;forchild;forticket
1173;2;1;2;3;3;3;3;3;3;3;3;1;3
1175;2;1;2;4;4;4;4;4;4;4;1;1;1
1180;2;1;2;4;4;4;4;4;4;4;4;2;4
1182;1;2;2;4;4;4;3;3;3;3;2;2;1
1187;2;1;2;4;4;4;2;2;2;2;2;1;4
1188;2;1;2;4;4;4;2;3;4;3;2;1;3
1189;1;2;2;3;3;3;3;3;3;3;3;1;3
1191;2;1;1;3;3;3;3;3;3;3;3;3;3
1192;1;3;2;4;3;3;3;4;4;3;4;2;2
1194;2;1;2;4;4;4;2;3;4;3;4;1;3
1196;1;1;2;4;4;4;4;4;4;4;4;4;4
1197;1;3;1;4;4;4;2;2;3;4;2;1;1
1198;1;2;2;3;4;3;3;3;4;3;3;4;2
1201;2;1;2;3;3;3;3;3;3;4;3;1;3
1202;1;2;1;4;4;4;4;4;4;4;4;2;2
1206;2;1;2;4;4;4;3;3;3;3;3;1;1
1207;2;2;2;3;3;3;3;3;3;3;3;3;3
1208;2;2;2;4;4;4;3;3;3;4;1;3;1
1209;2;2;3;3;3;3;3;3;3;1;3;1;3
1211;2;3;2;4;4;4;3;4;3;4;3;2;2
1213;2;2;2;3;3;3;3;3;3;3;3;2;2
1215;2;2;3;4;3;3;3;3;4;4;3;1;2
1220;2;2;3;4;4;4;4;3;4;4;4;1;3
1223;1;2;2;4;4;4;4;4;4;4;2;1;2
1224;2;1;3;4;4;4;3;4;3;3;3;2;2
